"iteration","true_beta1","true_beta2","aux_beta1","aux_beta2","cox_beta1","cox_beta2","pooled_beta1","pooled_beta2","transcox_beta1","transcox_beta2","aux_mse","cox_mse","pooled_mse","transcox_mse","n_events_prim","n_events_aux","convergence"
1,-0.5,0.5,-0.545399360596469,0.492260391051412,-0.381839928004931,0.36629178950873,-0.497139613423116,0.455392962898431,-0.545399360596469,0.492260391051412,0.00212100348924525,0.0318396881666576,0.00199796957035001,0.00212100348924525,168,401,0
2,-0.5,0.5,-0.783086583761025,0.595541072387011,-0.339956910817384,0.272291743509964,-0.684287407816784,0.515716389216311,-0.783086583761025,0.595541072387011,0.0892661104183479,0.0774648404688469,0.0342088535698282,0.0892661104183479,161,431,0
3,-0.5,0.5,-0.408152976877784,0.339759959130814,-0.116698332961656,0.217018177660137,-0.327679369968757,0.308280859978204,-0.408152976877784,0.339759959130814,0.0341127463541713,0.226998879729164,0.0664506281850616,0.0341127463541713,160,410,0
4,-0.5,0.5,-0.184240285928961,0.457912292642559,-0.791512300512835,0.811683248502637,-0.342832301838671,0.548322335950572,-0.184240285928961,0.457912292642559,0.10147557214083,0.182125868747442,0.0270367334970506,0.10147557214083,164,418,0
5,-0.5,0.5,-0.674702408307109,0.635530763837336,-0.968206554289721,0.471832286328154,-0.736722109053236,0.59135457498665,-0.674702408307109,0.635530763837336,0.0488895194146355,0.220010797573352,0.0643830152856038,0.0488895194146355,153,401,0
6,-0.5,0.5,-0.695268777370742,0.430054298670495,-0.588197342700513,0.426288935156982,-0.673016173308872,0.415716729407682,-0.695268777370742,0.430054298670495,0.0430222965503406,0.0132120923397235,0.0370382659281837,0.0430222965503406,155,400,0
7,-0.5,0.5,-0.728311028827535,0.447177820214666,-0.723269346441203,0.594923920112136,-0.741497755140139,0.474158095185,-0.728311028827535,0.447177820214666,0.0549161085615619,0.0588597516697373,0.0589889697821938,0.0549161085615619,160,405,0
8,-0.5,0.5,-0.402806886460079,0.454490806885871,-0.456498736796759,0.797605767353507,-0.407746176081613,0.544182842253988,-0.402806886460079,0.454490806885871,0.0115175879774831,0.0904615526623473,0.0104628915772056,0.0115175879774831,154,404,0
9,-0.5,0.5,-0.35547451882335,0.613398354129895,-0.0923407406635934,0.345090434950734,-0.302563495931462,0.53350203093183,-0.35547451882335,0.613398354129895,0.0337468014287115,0.19018304506646,0.040103559215363,0.0337468014287115,152,413,0
10,-0.5,0.5,-0.62703553233136,0.675749864377328,0.0463056902806963,0.619053461041072,-0.453600724847814,0.664541719202532,-0.62703553233136,0.675749864377328,0.0470260413033612,0.312623633818926,0.029226870092773,0.0470260413033612,161,400,0
