"iteration","true_beta1","true_beta2","aux_beta1","aux_beta2","cox_beta1","cox_beta2","pooled_beta1","pooled_beta2","transcox_beta1","transcox_beta2","aux_mse","cox_mse","pooled_mse","transcox_mse","n_events_prim","n_events_aux","convergence"
1,-0.5,0.5,-0.556645600540324,0.180806073810319,-0.381839928004931,0.36629178950873,-0.495821309743163,0.235153817784809,-0.556645600540324,0.180806073810319,0.105093486576957,0.0318396881666576,0.0701609616862246,0.105093486576957,168,394,0
2,-0.5,0.5,-0.766118282101598,0.292557430349284,-0.339956910817384,0.272291743509964,-0.644420998174033,0.291689670608968,-0.766118282101598,0.292557430349284,0.113851359771998,0.0774648404688469,0.0642506180445842,0.113851359771998,161,425,0
3,-0.5,0.5,-0.42901779794821,0.0279595770236602,-0.116698332961656,0.217018177660137,-0.349911940383158,0.0893001314839276,-0.42901779794821,0.0279595770236602,0.227860633931803,0.226998879729164,0.191200807638668,0.227860633931803,160,404,0
4,-0.5,0.5,-0.216175859666504,0.124119948218353,-0.791512300512835,0.811683248502637,-0.333129661153034,0.302657804675525,-0.216175859666504,0.124119948218353,0.221841955963421,0.182125868747442,0.0667896520423846,0.221841955963421,164,407,0
5,-0.5,0.5,-0.666371262616315,0.332538541483863,-0.968206554289721,0.471832286328154,-0.724596562278858,0.357479587179668,-0.666371262616315,0.332538541483863,0.0557227371128987,0.220010797573352,0.0707556838579588,0.0557227371128987,153,393,0
6,-0.5,0.5,-0.697650780182865,0.134941493116326,-0.588197342700513,0.426288935156982,-0.703403627535576,0.203429814085416,-0.697650780182865,0.134941493116326,0.172333544355033,0.0132120923397235,0.129326910868042,0.172333544355033,155,397,0
7,-0.5,0.5,-0.749251097427414,0.157090729816093,-0.723269346441203,0.594923920112136,-0.769147748812894,0.24786263938345,-0.749251097427414,0.157090729816093,0.17971287714683,0.0588597516697373,0.136013759309729,0.17971287714683,160,400,0
8,-0.5,0.5,-0.407704807653155,0.168619043135093,-0.456498736796759,0.797605767353507,-0.393677663004522,0.325291833509922,-0.407704807653155,0.168619043135093,0.118331741103042,0.0904615526623473,0.0418273827825047,0.118331741103042,154,397,0
9,-0.5,0.5,-0.393675156229284,0.311434929685983,-0.0923407406635934,0.345090434950734,-0.344854714444421,0.312969796217799,-0.393675156229284,0.311434929685983,0.0468617581453974,0.19018304506646,0.0590503567569338,0.0468617581453974,152,403,0
10,-0.5,0.5,-0.64669598242959,0.370860404713504,0.0463056902806963,0.619053461041072,-0.486824247126569,0.445022110598529,-0.64669598242959,0.370860404713504,0.0381967463317425,0.312623633818926,0.00319616878682207,0.0381967463317425,161,393,0
